"V1","V2","V3"
"AURIS","1974","-Inf"
"AURIS","1975","-Inf"
"AURIS","1976","36.5"
"AURIS","1977","42"
"AURIS","1978","60"
"AURIS","1979","45.6"
"AURIS","1980","53"
"AURIS","1981","38"
"AURIS","1982","36.1"
"AURIS","1983","74"
"AURIS","1984","37"
"AURIS","1985","44"
"AURIS","1986","52"
"AURIS","1987","51"
"AURIS","1988","43"
"AURIS","1989","35"
"AURIS","1990","61"
"AURIS","1991","50"
"AURIS","1992","51"
"AURIS","1993","50"
"AURIS","1994","53"
"AURIS","1995","52"
"AURIS","1996","45.5"
"AURIS","1997","41"
"AURIS","1998","47"
"AURIS","1999","49"
"AURIS","2000","56"
"AURIS","2001","99.2"
"AURIS","2002","-Inf"
"AURIS","2003","-Inf"
"AURIS","2004","-Inf"
"AURIS","2005","-Inf"
"AURIS","2006","-Inf"
"AURIS","2007","-Inf"
"AURIS","2008","-Inf"
"AURIS","2009","-Inf"
"AURIS","2010","-Inf"
"AURIS","2011","-Inf"
"AURIS","2012","-Inf"
"AURIS","2013","-Inf"
"AURIS","2014","-Inf"
"AURIS","2015","-Inf"
"AURIS","2016","-Inf"
"AURIS","2017","-Inf"
"AURIS","2018","-Inf"
"AURIS","2019","-Inf"
"AURIS","2020","-Inf"
"AURIS","2021","-Inf"
"AURIS","2022","-Inf"
